14,Jalisco,1,Acatic,1,Acatic,1025419,204646,1693,11890,5766,6124,780,391,389,11109,5375,5734,10623,5133,5490,8810,4195,4615,8109,3839,4270,7398,3487,3911,727,362,365,1572,818,754,1745,890,855,701,356,345,711,352,359,1571,759,812,3120,1268,585,683,94.15,3780,7205,904,2.81,11309,5479,5830,341,169,172,10109,4773,5336,66,34,32,14,9,5,0,0,0,5,4,1,14,0,5,27,753,440,170,57,65,25,43,81,11116,316,159,157,58,39,19,110,54,56,322,140,182,223,102,121,53,37,16,812,368,444,1050,467,583,1782,870,912,2008,982,1026,386,218,168,1608,735,873,1128,514,614,6.33,6.31,6.35,5301,3463,1838,3468,705,2763,5194,3379,1815,107,84,23,4808,7072,2772,208,7,3923,3370,4758,669,11787,56,0,27,3024,2325,699,11867,9572,2295,3862,3026,3860,3024,3024,529,307,11867,3.92,1.05,2951,69,1035,1984,95,404,2517,3017,5,2954,67,2999,3001,16,2938,15,2518,2956,2822,2644,1652,512,1335,2040,314,7
14,Jalisco,1,Acatic,2,Agua Prieta (Tepetates),1025331,204737,1735,107,54,53,9,4,5,98,50,48,95,49,46,83,40,43,74,35,39,62,28,34,4,1,3,11,9,2,17,13,4,9,5,4,12,7,5,17,4,13,32,4,3,1,101.89,33,72,2,2.14,100,50,50,7,4,3,92,48,44,3,1,2,1,1,0,0,0,0,1,1,0,1,0,1,6,6,2,2,0,1,0,1,0,101,4,1,3,2,1,1,5,3,2,2,1,1,0,0,0,2,2,0,10,5,5,15,8,7,22,14,8,24,10,14,3,0,3,8,2,6,1,0,1,4.42,3.71,5.05,65,38,27,17,1,16,65,38,27,0,0,0,39,68,18,0,0,50,35,45,3,107,0,0,0,24,22,2,107,100,7,40,24,40,24,24,13,3,107,4.46,1.37,22,2,9,15,2,5,17,24,0,4,20,14,16,8,3,0,21,23,19,18,13,0,0,18,0,1
14,Jalisco,1,Acatic,3,Alacates,1025103,204925,1794,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
14,Jalisco,1,Acatic,6,El Bajío de los Herrera,1025849,204344,1708,36,19,17,1,0,1,35,19,16,34,18,16,28,16,12,27,15,12,26,14,12,1,1,0,6,2,4,5,3,2,1,1,0,1,1,0,6,4,2,6,9,5,4,111.76,9,20,7,4.33,34,18,16,0,0,0,34,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,1,0,0,0,29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,8,5,3,9,4,5,9,6,3,1,0,1,0,0,0,0,0,0,3.22,3.07,3.42,15,12,3,13,4,9,15,12,3,0,0,0,18,18,17,0,0,1,10,16,2,36,0,0,0,9,9,0,36,36,0,22,9,22,9,9,10,3,36,4,0.92,9,0,2,7,0,0,9,9,0,7,2,9,9,0,7,0,8,9,9,9,7,0,0,9,0,1
14,Jalisco,1,Acatic,9,Rancho Nuevo Calderón,1025619,204154,1630,215,107,108,13,7,6,202,100,102,195,95,100,161,78,83,148,69,79,133,64,69,11,7,4,30,15,15,35,19,16,13,9,4,15,5,10,27,12,15,58,22,11,11,99.07,67,135,13,2.92,208,102,106,0,0,0,188,91,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,5,2,4,2,2,1,197,4,2,2,2,1,1,3,2,1,6,2,4,0,0,0,2,1,1,10,5,5,14,6,8,53,25,28,43,22,21,8,5,3,28,11,17,2,0,2,5.28,5.23,5.32,84,60,24,76,18,58,82,59,23,2,1,1,86,129,19,2,0,108,61,91,9,211,0,0,0,55,48,7,215,202,13,77,55,77,55,55,14,8,215,3.91,1.12,55,0,14,40,1,7,46,55,0,51,4,47,48,6,46,0,44,55,54,49,42,2,0,47,0,1
14,Jalisco,1,Acatic,10,El Capadero (San Miguel de la Loza),1025217,204734,1717,27,14,13,2,1,1,25,13,12,22,12,10,17,10,7,15,8,7,14,8,6,3,1,2,5,2,3,6,4,2,2,2,0,1,0,1,1,1,0,6,2,1,1,107.69,12,13,2,3.86,27,14,13,0,0,0,22,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,7,4,3,0,0,0,0,0,0,0,0,0,4.53,4.5,4.57,9,8,1,8,2,6,9,8,1,0,0,0,4,23,12,0,0,11,5,12,0,27,0,0,0,6,6,0,27,27,0,8,6,8,6,6,1,1,27,4.5,1.29,5,1,1,5,0,1,5,6,0,4,2,6,6,0,4,0,6,6,6,6,6,0,0,5,0,1
14,Jalisco,1,Acatic,11,Carricillo,1025205,204612,1708,36,18,18,3,1,2,33,17,16,30,15,15,23,11,12,19,8,11,15,7,8,4,2,2,6,4,2,8,6,2,4,3,1,4,1,3,4,1,3,11,0,0,0,100,17,19,0,2.17,36,18,18,0,0,0,29,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,35,2,1,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,7,4,3,7,3,4,0,0,0,4,0,4,0,0,0,5,3.38,6.18,18,10,8,5,1,4,17,9,8,1,1,0,9,27,27,0,0,0,10,12,1,32,0,0,4,7,7,0,36,36,0,7,7,7,7,7,0,0,36,5.14,1.71,7,0,2,5,1,1,5,7,0,3,4,7,7,0,3,0,5,7,5,5,4,1,1,5,0,1
14,Jalisco,1,Acatic,12,Ceja de Ramblas,1025933,204342,1770,85,41,44,2,2,0,83,39,44,81,37,44,61,27,34,53,25,28,47,24,23,5,3,2,17,9,8,20,9,11,8,2,6,6,1,5,14,9,5,17,14,8,6,93.18,32,43,10,3.41,85,41,44,0,0,0,81,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,2,0,0,1,79,2,1,1,1,1,0,7,2,5,2,1,1,1,0,1,0,0,0,7,2,5,16,8,8,15,8,7,16,7,9,1,1,0,5,1,4,0,0,0,3.64,3.4,3.86,32,25,7,29,2,27,31,24,7,1,1,0,66,19,12,0,0,7,28,26,7,85,0,0,0,19,16,3,85,73,12,38,19,38,19,19,19,0,85,4.47,1.29,16,3,6,13,0,2,17,19,0,5,14,8,9,10,4,1,15,16,14,14,11,0,2,9,0,1
14,Jalisco,1,Acatic,13,Cofradía Grande,1025558,204657,1680,81,50,31,8,7,1,73,43,30,68,38,30,52,25,27,49,24,25,41,20,21,7,6,1,14,12,2,9,6,3,3,1,2,8,4,4,12,7,5,22,3,2,1,161.29,32,46,3,2.67,79,49,30,2,1,1,64,35,29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,77,2,2,0,0,0,0,1,0,1,3,1,2,1,1,0,2,1,1,6,3,3,5,3,2,7,2,5,16,11,5,5,2,3,13,5,8,2,1,1,6.18,6.04,6.32,31,23,8,20,1,19,30,22,8,1,1,0,24,57,24,0,0,33,18,29,5,81,0,0,0,17,12,5,81,49,32,27,17,27,17,17,7,3,81,4.76,1.59,16,1,12,5,2,8,7,17,0,4,13,16,16,1,4,0,13,17,15,13,13,0,0,11,0,1
14,Jalisco,1,Acatic,14,El Colomo,1025727,204256,1690,124,61,63,6,3,3,118,58,60,112,55,57,96,45,51,93,43,50,86,41,45,7,4,3,15,9,6,11,5,6,3,2,1,7,2,5,16,6,10,29,28,13,15,96.83,31,76,17,2.47,122,59,63,0,0,0,110,54,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,2,1,1,1,0,1,112,3,2,1,2,1,1,0,0,0,3,1,2,1,0,1,0,0,0,15,11,4,17,10,7,38,16,22,21,14,7,5,0,5,10,2,8,2,1,1,4.15,3.63,4.6,50,38,12,46,7,39,49,37,12,1,1,0,63,61,17,0,0,44,33,60,2,124,0,0,0,31,28,3,124,113,11,45,31,45,31,31,10,4,124,4,1.14,31,0,14,17,0,7,24,31,0,5,26,18,22,9,4,0,25,30,28,25,26,1,0,27,1,1
14,Jalisco,1,Acatic,16,Las Coronillas,1025030,204238,1760,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
